tag_name,level,start_x,start_y,size_w,size_h
a,1,435,5427,52.0,18.0
a,1,435,5454,116.61666870117188,36.19999694824219
strong,2,786,26,91.0,18.0
div,2,20,1156,160.0,20.300003051757812
h2,2,765,1369,485.0,26.0
a,2,400,3369,60.0,16.5
a,2,400,3443,60.0,16.5
a,2,271,5445,78.0,18.0
a,2,599,5528,276.566650390625,54.399993896484375
div,3,20,1020,160.0,20.29998779296875
div,3,20,1088,160.0,20.300003051757812
span,3,291,4363,178.25,20.5
small,3,260,5048,960.0,24.0
a,3,271,5373,117.0,18.0
a,3,271,5400,117.0,36.19999694824219
a,3,599,5345,267.0333251953125,54.399993896484375
a,3,599,5455,266.5,18.0
